name,provider_name,abn,slug,email,phone,website,government_listing_url,address_line_1,address_line_2,suburb,state,postcode,latitude,longitude,status,source_primary,facility_type,beds,one_line_description,long_description,overview_heading,provider_overview,accommodation_summary,pricing_summary,care_types,specialties,languages,room_types,feature_tags,other_tags,hero_badges,services_included,amenities,allied_health,food_highlights,visiting_hours,admissions_process,waiting_list_summary,transport_notes,nearby_hospitals,faq_items,review_summary,review_count,primary_photo_url,gallery_image_urls,rad_from,rad_to,dap_from,dap_to,availability_status,active_vacancies,website_says_vacancies,website_checked_at,website_source_url,facility_confirmed_vacancies,facility_confirmed_at,facility_confirmation_source,conflict_flag,verified_at,last_profile_scan_at,internal_notes,facility_row_id,primary_photo_id,gallery_photo_ids,primary_photo_local_path,gallery_photo_local_paths
Broadwater Grove Care Community,DPG Services Pty Ltd,,broadwater-grove-care-community,contact.centre@opalhealthcare.com.au,07 5557 7700,https://www.opalhealthcare.com.au/residential-aged-care/broadwater-grove,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/broadwater-grove-care-community-3x2y4lddj,55 WORENDO Street,,SOUTHPORT,QLD,4215,,,active,myagedcare,residential_aged_care,,,"Broadwater Grove Care Community is located in Southport on the heart of the Gold Coast. Our charming Care Community retains features of its heritage including lead light windows and timber fireplaces, within a modern facade. We have strong community ties, including an active program with Griffith University, enjoyed by both the young and the young-at-heart; and our unique partnership with Thread Together which gives residents access to brand new clothes of their choice.",,,,,,,,Availability|Premium|Superior|Standard|Superior,,,,Nursing|Medication management,,,$13/day spend; 61% satisfaction; prepared onsite,,,,,,,,,,,,,94.32,141.47,unknown,,unknown,,,unknown,,,,,2026-03-19T09:56:45.289Z,,,,,,
Arcare Caboolture,Arcare Pty Ltd,,arcare-caboolture,jason.brown@arcare.com.au,1300 272 273,http://www.arcare.com.au/care/arcare-caboolture/,https://www.myagedcare.gov.au/find-a-provider/search/sy1rfqq6-arcare-pty-ltd/aged-care-homes/arcare-caboolture-ldyzt28m,51 Manley Street,,CABOOLTURE,QLD,4510,,,active,myagedcare,residential_aged_care,,,,,,,,Dementia,,,Availability|Deluxe|Premiere Plus|Premiere,,,,Nursing|Medication management|Dietitian,,,$15/day spend; 65% satisfaction; prepared onsite,,,,,,,,,,,,,115.27,151.95,unknown,,unknown,,,unknown,,,,,2026-03-19T09:56:47.423Z,,,,,,
St Vincent's Care Services Southport,St Vincent's Care Services Ltd,,st-vincents-care-services-southport,svcs.info@svha.org.au,1300 719 243,https://www.svcs.org.au/locations/queensland/southport,https://www.myagedcare.gov.au/find-a-provider/search/sy77vpz3-st-vincent-s-care-services-ltd/aged-care-homes/st-vincent-s-care-services-southport-l8p8jc41,32 Bauer Street,,SOUTHPORT,QLD,4215,,,active,myagedcare,residential_aged_care,,,"Imagine placing your loved one in an aged care home where they feel welcome, valued and safe.",,,,,,,,Availability|Superior Room|Deluxe Couples Suite|Deluxe Memory Care Room|Deluxe Room|Premium Couples Suite|Premium Room,,,,Nursing|Medication management|Dietitian,,,$20/day spend; 67% satisfaction; prepared onsite,,,,,,,,,,,,,94.32,115.27,unknown,,unknown,,,unknown,,,,,2026-03-19T09:57:00.468Z,,,,,,
Churches Of Christ Lady Small Haven Aged Care Service,Churches of Christ in Queensland,,churches-of-christ-lady-small-haven-aged-care-service,ladysmallacs@cofcqld.com.au,07 5510 1555,https://www.cofc.com.au/residentialagedcare/locations/residential-aged-care?locid=86,https://www.myagedcare.gov.au/find-a-provider/search/599jwjjm-churches-of-christ-in-queensland/aged-care-homes/churches-of-christ-lady-small-haven-aged-jmym8ssl,60 Allchurch Avenue,,BENOWA,QLD,4217,,,active,myagedcare,residential_aged_care,,,"Churches of Christ Care Lady Small Haven Aged Care Service is a 74-bed, residential service offering a range of personal care, therapies and accommodation options. The service is nestled in beautiful bushland and is conveniently co-located with the Retirement Village, which can be beneficial for people who may have changing care and accommodation needs.",,,,,,,,Availability|Premium Plus|Premium|Standard|Standard,,,,Nursing|Medication management|Dietitian,,,$15/day spend; 80% satisfaction; prepared onsite,,,,,,,,,,,,,94.32,115.27,unknown,,unknown,,,unknown,,,,,2026-03-19T09:57:15.887Z,,,,,,
Tricare Mermaid Beach Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-mermaid-beach-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/gold-coast/mermaid-beach-aged-care-residence/?utm_source=macpor,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-mermaid-beach-aged-care-residence-4j82r515qb,2424 Gold Coast Highway Highway,,MERMAID BEACH,QLD,4218,,,active,myagedcare,residential_aged_care,,,,,,,,Palliative,,,Availability|Superior Single Room with Private Ensuite|Superior Companion Room with Private Ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,115.27,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T09:57:29.458Z,,,,,,
Ashmore Gardens Care Community,DPG Services Pty Ltd,,ashmore-gardens-care-community,contact.centre@opalhealthcare.com.au,07 5510 1800,https://www.opalhealthcare.com.au/residential-aged-care/ashmore-gardens,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/ashmore-gardens-care-community-n1trl1bc0s,100 WARDOO Street,,ASHMORE,QLD,4214,,,active,myagedcare,residential_aged_care,,,"Ashmore Gardens Care Community is located in the quiet suburb of Ashmore. Our residents enjoy the best of both worlds with a leafy, peaceful outlook just 10 minutes from the centre of the vibrant Gold Coast. We offer a relaxing environment with the compassionate and personalised care of 24/7 registered nurses. Our experienced leadership work alongside a capable and confident team to offer residential aged care, palliative care, dementia care and respite care. Allied health professionals also visit regularly. Our state-of-the-art wellness centre enables residents to benefit from a holistic approach to wellbeing, rehabilitation and restorative care in a welcoming environment. There are plenty of peaceful spots to spend time with family and friends, or moments of quiet reflection. Our lush tropical gardens with water features can be enjoyed from many vantage points.All residents’ rooms have easy access to gardens via external covered verandas which wrap around the single level building.",,,,,Residential respite|Dementia,,,Availability|Premium|Deluxe|Premium Suite|Classic Companion,,,,Nursing|Medication management,,,$14/day spend; 72% satisfaction; prepared onsite,,,,,,,,,,,,,89.08,135.18,unknown,,unknown,,,unknown,,,,,2026-03-19T09:57:45.007Z,,,,,,
Southport Lodge,Planlow Pty Ltd,,southport-lodge,kath@southportlodge.com.au,0430 060 063,http://www.southportlodge.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/5jjc5lgn-planlow-pty-ltd/aged-care-homes/southport-lodge-g3j3y80f,37 Jimmieson Avenue,,SOUTHPORT,QLD,4215,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|All rooms,,,,Nursing|Medication management,,,$21/day spend; 92% satisfaction; prepared onsite,,,,,,,,,,,,,62.88,62.88,unknown,,unknown,,,unknown,,,,,2026-03-19T09:58:00.288Z,,,,,,
Merrimac Park Private Care,Superior Care Group Pty Ltd,,merrimac-park-private-care,merrimac@superiorcare.com.au,07 5618 1111,http://ww.superiorcare.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/0bbyz4ss-superior-care-group-pty-ltd/aged-care-homes/merrimac-park-private-care-s6l6g0pc,50-52 MACADIE Way,,MERRIMAC,QLD,4226,,,active,myagedcare,residential_aged_care,,,"Located in the heart of the Gold Coast, just minutes from Robina Town Centre and the new public hospital, Merrimac Park is set amongst privately owned acreage.Family owned and operated, with over 35 years’ experience in aged care, our modern facility is dedicated to providing high quality accommodation and exceptional care to our residents.Merrimac Park Private Care provides the ultimate comfort and safety for our residents. Set amongst landscaped gardens overlooking a nature reserve, we promote a well-balanced indoor and outdoor lifestyle.Catering for individuals and couples, each of our 96 spacious private suites with private ensuites boast an abundance of natural light and come fully furnished.Enjoy a superior lifestyle with:• 7 days/wk activity program inc. day trips, luncheons and live entertainment• Onsite beauty salon• Home-style cooked meals freshly prepared onsite• Full housekeeping and linen service• Individually controlled air conditioning• Family accommodation",,,,,,,,Availability|Premium Room - Private Room with Ensuite,,,,Nursing|Medication management|Dietitian,,,$20/day spend; 75% satisfaction; prepared onsite,,,,,,,,,,,,,157.19,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T09:58:15.305Z,,,,,,
Blue Care Arundel Woodlands Lodge Aged Care Facility,UnitingCare Queensland Limited,,blue-care-arundel-woodlands-lodge-aged-care-facility,r.services@bluecare.org.au,1800 838 929,https://www.bluecare.org.au/aged-care-homes/locations/arundel-woodlands-lodge,https://www.myagedcare.gov.au/find-a-provider/search/326sblpl-unitingcare-queensland-limited/aged-care-homes/blue-care-arundel-woodlands-lodge-aged-care-kwswv83x,29 Melbourne Road,,ARUNDEL,QLD,4214,,,active,myagedcare,residential_aged_care,,,,,,,,Residential respite,,,Availability|Room 1 - Single Room + Private Ensuite|Deluxe Single Room + Private Ensuite|Room 3 - Premium Single Private Ensuite|Room 2 - Single + Private Ensuite (Memory Support),,,,Nursing|Medication management,,,,,,,,,,,,,,,,111.08,127.85,unknown,,unknown,,,unknown,,,,,2026-03-19T09:58:29.822Z,,,,,,
Varsity Views Care Community,DPG Services Pty Ltd,,varsity-views-care-community,contact.centre@opalhealthcare.com.au,07 5554 8100,https://www.opalhealthcare.com.au/residential-aged-care/varsity-views,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/varsity-views-care-community-4h2078bgwf,12 LAKE Street,,VARSITY LAKES,QLD,4227,,,active,myagedcare,residential_aged_care,,,"At Varsity Views Care Community we encourage our residents to live a life of meaning and purpose –that’s why understanding the big and the little details about how you like to live each day is important to us –so that we can help you feel at home, have the right support and live your best life in our care.",,,,,,,,Availability|Classic|Premium|Superior,,,,Nursing|Medication management,,,$12/day spend; 58% satisfaction; prepared onsite,,,,,,,,,,,,,135.18,146.71,unknown,,unknown,,,unknown,,,,,2026-03-19T09:58:46.339Z,,,,,,
